customer_id,customer_email,customer_name,segment,country,state,city,postal_code,region
RH-19495,horrocks@verizon.net,Rick Hansen,Consumer,United States,Rochester,Minnesota,55901,Central
SA-20830,miyop@comcast.net,Sue Ann Reed,Consumer,United States,Chicago,Illinois,60610,Central
SB-20290,stern@verizon.net,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central
SC-20305,bsikdar@msn.com,Sean Christensen,Consumer,United States,Rochester Hills,Michigan,48307,Central
SF-20965,dmouse@outlook.com,Sylvia Foulston,Corporate,United States,Dearborn,Michigan,48126,Central
SG-20080,mastinfo@msn.com,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central
SJ-20500,dawnsong@hotmail.com,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central
SN-20710,msroth@me.com,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
SS-20875,atmarks@live.com,Sung Shariari,Consumer,United States,Dallas,Texas,75220,Central
TB-21520,evans@me.com,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central
TB-21595,mstrout@me.com,Troy Blackwell,Consumer,United States,Columbus,Indiana,47201,Central
TD-20995,wildfire@yahoo.com,Tamara Dahlen,Consumer,United States,Quincy,Illinois,62301,Central
TH-21235,fmerges@hotmail.com,Tiffany House,Corporate,United States,Dallas,Texas,75081,Central
TH-21550,geekgrl@comcast.net,Tracy Hopkins,Home Office,United States,Detroit,Michigan,48227,Central
