CustomerID,customer_email,customer_name,segment,country,city,state,postal_code,region
JO-15280,lukka@yahoo.ca,Jas O'Carroll,CONS,United States,Los Angeles,Michigan,90004,W
JP-15520,ylchang@att.net,Jeremy Pistek,CONS,United States,San Francisco,Pennsylvania,94110,W
JS-15595,tangsh@mac.com,Jill Stevenson,CORP,United States,Los Angeles,California,90045,W
KB-16240,mhouston@optonline.net,Karen Bern,CORP,United States,Los Angeles,California,90036,W
KC-16540,unreal@live.com,Kelly Collister,CONS,United States,San Diego,Michigan,92037,W
KC-16675,mastinfo@msn.com,Kimberly Carter,CORP,United States,Seattle,Washington,98105,W
KD-16345,benits@msn.com,Katherine Ducich,CONS,United States,San Francisco,California,94122,W
KH-16510,benits@msn.com,Keith Herrera,CONS,United States,San Francisco,California,94110,W
KH-16690,bancboy@icloud.com,Kristen Hastings,CORP,United States,San Francisco,Oklahoma,94110,W
KL-16555,stern@verizon.net,Kelly Lampkin,CORP,United States,Colorado Springs,Colorado,80906,W
KM-16720,dmouse@outlook.com,Kunst Miller,CONS,United States,Los Angeles,California,90004,W
LC-16870,barnett@comcast.net,Lena Cacioppo,CONS,United States,Aurora,Colorado,80013,W
LC-16885,ozawa@me.com,Lena Creighton,CONS,United States,Roseville,California,95661,W
LC-17140,bancboy@icloud.com,Logan Currie,CONS,United States,San Francisco,California,94122,W
LE-16810,unreal@live.com,Laurel Elliston,CONS,United States,Whittier,California,90604,W
LH-17155,geekgrl@comcast.net,Logan Haushalter,CONS,United States,San Francisco,Ohio,94109,W
LP-17080,ylchang@att.net,Liz Pelletier,CONS,United States,San Francisco,California,94110,W
LR-16915,bancboy@icloud.com,Lena Radford,CONS,United States,San Diego,California,92024,W
LS-16975,mstrout@me.com,Lindsay Shagiari,HO,United States,Los Angeles,California,90004,W
LT-17110,mstrout@me.com,Liz Thompson,CONS,United States,Lancaster,California,93534,W
ME-17725,cremonini@me.com,Max Engle,CONS,United States,Aurora,Colorado,80013,W
MH-17785,msroth@me.com,Maya Herman,CORP,United States,San Diego,California,92105,W
MJ-17740,fmerges@hotmail.com,Max Jones,CONS,United States,Seattle,Washington,98115,W
MS-17830,specprog@icloud.com,Melanie Seite,CONS,United States,Los Angeles,California,90036,W
MT-18070,bancboy@icloud.com,Michelle Tran,HO,United States,Los Angeles,Texas,90045,W
MY-17380,pgolle@mac.com,Maribeth Yedwab,CORP,United States,Parker,Colorado,80134,W
MZ-17515,unreal@live.com,Mary Zewe,CORP,United States,Redlands,California,92374,W
NK-18490,miyop@comcast.net,Neil Knudson,HO,United States,Seattle,Washington,98105,W
NZ-18565,msroth@me.com,Nick Zandusky,HO,United States,San Francisco,California,94110,W
OT-18730,miyop@comcast.net,Olvera Toch,CONS,United States,Los Angeles,California,90045,W
PB-19150,horrocks@verizon.net,Philip Brown,CONS,United States,Los Angeles,Illinois,90004,W
PC-18745,atmarks@live.com,Pamela Coakley,CORP,United States,San Francisco,California,94122,W
PG-18820,dcoppit@gmail.com,Patrick Gardner,CONS,United States,San Francisco,California,94110,W
PJ-19015,mastinfo@msn.com,Pauline Johnson,CONS,United States,Santa Ana,California,92704,W
RA-19885,mhouston@optonline.net,Ruben Ausman,CORP,United States,Los Angeles,California,90049,W
RA-19915,atmarks@live.com,Russell Applegate,CONS,United States,Denver,Colorado,80219,W
RB-19465,msroth@me.com,Rick Bensley,HO,United States,Vallejo,California,94591,W
RB-19705,world@att.net,Roger Barcio,HO,United States,Portland,Oregon,97206,W
RD-19810,payned@att.net,Ross DeVincentis,HO,United States,Los Angeles,California,90045,W
RD-19900,geekgrl@comcast.net,Ruben Dartt,CONS,United States,Carlsbad,New Mexico,88220,W
SC-20095,duncand@mac.com,Sanjit Chand,CONS,United States,Concord,Connecticut,94521,W
SF-20200,cvrcek@me.com,Sarah Foster,CONS,United States,Marysville,Washington,98270,W
SH-19975,mhouston@optonline.net,Sally Hughsby,CORP,United States,San Francisco,California,94122,W
SP-20650,wildfire@yahoo.com,Stephanie Phelps,CORP,United States,San Jose,California,95123,W
SP-20860,geekgrl@comcast.net,Sung Pak,CORP,United States,Los Angeles,California,90045,W
SS-20590,stern@verizon.net,Sonia Sunley,CONS,United States,Seattle,Washington,98115,W
TG-21640,world@att.net,Trudy Glocke,CONS,United States,Long Beach,California,90805,W
TN-21040,unreal@live.com,Tanja Norvell,HO,United States,Phoenix,Arizona,85023,W
TS-21610,geekgrl@comcast.net,Troy Staebel,CONS,United States,Phoenix,Arizona,85023,W
TT-21070,dmouse@outlook.com,Ted Trevino,CONS,United States,Los Angeles,California,90045,W
TW-21025,cremonini@me.com,Tamara Willingham,HO,United States,Scottsdale,Arizona,85254,W
VP-21730,cvrcek@me.com,Victor Preis,HO,United States,Las Vegas,Nevada,89115,W
XP-21865,pgolle@mac.com,Xylona Preis,CONS,United States,San Diego,Ohio,92024,W
YC-21895,benits@msn.com,Yoseph Carroll,CORP,United States,San Francisco,California,94110,W
ZC-21910,gordonjcp@comcast.net,Zuschuss Carroll,CONS,United States,Salem,Oregon,97301,W
ZD-21925,fmerges@hotmail.com,Zuschuss Donatelli,CONS,United States,San Francisco,California,94109,W
