customer_id,customer_email,customer_name,segment,country,city,state,postal_code,region
JF-15415,mhouston@optonline.net,Jennifer Ferguson,Consumer,United States,New York City,New York,10024,East
JG-15805,evans@me.com,John Grady,Corporate,United States,New York City,New York,10024,East
JK-15640,pgolle@mac.com,Jim Kriz,Home Office,United States,New York City,New York,10009,East
JL-15505,evans@me.com,Jeremy Lonsdale,Consumer,United States,New York City,New York,10035,East
JL-15850,duncand@mac.com,John Lucas,Consumer,United States,Philadelphia,Pennsylvania,19134,East
JO-15550,parrt@aol.com,Jesus Ocampo,Home Office,United States,Chester,Pennsylvania,19013,East
JR-16210,dmouse@outlook.com,Justin Ritter,Corporate,United States,Springfield,Ohio,45503,East
KW-16435,geekgrl@comcast.net,Katrina Willman,Consumer,United States,New York City,New York,10009,East
LH-16900,shaffei@sbcglobal.net,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East
LH-17020,payned@att.net,Lisa Hazard,Consumer,United States,Columbus,Ohio,43229,East
LL-16840,cvrcek@me.com,Lauren Leatherbury,Consumer,United States,Rochester,New York,14609,East
LM-17065,miyop@comcast.net,Liz MacKendrick,Consumer,United States,Springfield,Ohio,45503,East
LS-16945,stern@verizon.net,Linda Southworth,Corporate,United States,Philadelphia,Pennsylvania,19140,East
MB-17305,louise@msn.com,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East
MG-17680,bsikdar@msn.com,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East
MG-18145,dawnsong@hotmail.com,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134,East
MK-17905,atmarks@live.com,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040,East
MP-17470,dcoppit@gmail.com,Mark Packer,Home Office,United States,New York City,New York,10035,East
MP-17965,leviathan@comcast.net,Michael Paige,Corporate,United States,Lawrence,Massachusetts,1841,East
MR-17545,dmouse@outlook.com,Mathew Reese,Home Office,United States,Philadelphia,Pennsylvania,19140,East
MV-18190,unreal@live.com,Mike Vittorini,Consumer,United States,New York City,New York,10009,East
NG-18355,world@att.net,Nat Gilpin,Corporate,United States,New York City,New York,10011,East
NG-18430,privcan@optonline.net,Nathan Gelder,Consumer,United States,Cincinnati,Ohio,45231,East
NM-18445,gordonjcp@comcast.net,Nathan Mautz,Home Office,United States,New York City,New York,10024,East
PK-18910,louise@msn.com,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,19143,East
PN-18775,cremonini@me.com,Parhena Norris,Home Office,United States,New York City,New York,10009,East
PO-18850,privcan@optonline.net,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,East
RA-19285,pgolle@mac.com,Ralph Arnett,Consumer,United States,New York City,New York,10035,East
RB-19360,mrdvt@hotmail.com,Raymond Buch,Consumer,United States,Auburn,New York,13021,East
RF-19840,dawnsong@hotmail.com,Roy Französisch,Consumer,United States,New York City,New York,10024,East
RP-19390,dinther@outlook.com,Resi Pölking,Consumer,United States,Cleveland,Ohio,44105,East
RS-19765,lukka@yahoo.ca,Roland Schwarz,Corporate,United States,Mount Vernon,New York,10550,East
SC-20050,mastinfo@msn.com,Sample Company A,Home Office,United States,Norwich,Connecticut,6360,East
SC-20725,bsikdar@msn.com,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
SD-20485,leviathan@comcast.net,Shirley Daniels,Home Office,United States,New Rochelle,New York,10801,East
SF-20065,ylchang@att.net,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East
SJ-20125,wildfire@yahoo.com,Sanjit Jacobs,Home Office,United States,New Brunswick,New Jersey,8901,East
SK-19990,evans@me.com,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East
SM-20005,dmouse@outlook.com,Sally Matthias,Consumer,United States,New York City,New York,10009,East
SP-20545,mstrout@me.com,Sibella Parks,Corporate,United States,New York City,New York,10011,East
SR-20740,duncand@mac.com,Steven Roelle,Home Office,United States,New York City,New York,10024,East
SS-20140,mrdvt@hotmail.com,Saphhira Shifley,Corporate,United States,Warwick,Rhode Island,2886,East
SV-20365,barnett@comcast.net,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East
TB-21055,durist@aol.com,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
TP-21130,evans@me.com,Theone Pippenger,Consumer,United States,Philadelphia,Pennsylvania,19134,East
TR-21325,fmerges@hotmail.com,Toby Ritter,Consumer,United States,Belleville,New Jersey,7109,East
TS-21205,msroth@me.com,Thomas Seio,Corporate,United States,Hackensack,New Jersey,7601,East
VM-21685,bancboy@icloud.com,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East
VW-21775,cremonini@me.com,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East
